"id","__typename","cities","createdAt","culture","emailDomains","groupsCanFind","industry","name","ownerId","perks","placeIds","size","updatedAt","website"
"a3deef35-35fa-4283-83b4-3e9df4dddb32","Company","[]","2020-10-20T00:12:17.538Z","","[{""S"":""https://conectiv.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Conectiv","","","[]","","2020-10-20T00:12:17.538Z","https://conectiv.com"
"7db0b6d1-be5a-48ae-a822-fa0647e59584","Company","[]","2020-10-20T21:56:43.928Z","","[{""S"":""https://goodwill.org""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Goodwill","","","[]","","2020-10-20T21:56:43.928Z","https://goodwill.org"
"425d51ff-c6f4-4153-8432-10bf94d9204d","Company","[]","2020-10-20T00:14:03.084Z","","[{""S"":""https://northerntrust.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Northern Trust Corp.","","","[]","","2020-10-20T00:14:03.084Z","https://northerntrust.com"
"52431b37-b6dc-407f-b255-9168f7740867","Company","[]","2020-10-20T00:12:08.924Z","","[{""S"":""https://cinfin.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Cincinnati Financial","","","[]","","2020-10-20T00:12:08.924Z","https://cinfin.com"
"c3acec54-ce06-4a35-ae1f-5cb7eaa63fad","Company","[]","2020-10-20T00:13:45.996Z","","[{""S"":""https://mckesson.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","McKesson","","","[]","","2020-10-20T00:13:45.996Z","https://mckesson.com"
"565342c0-55ac-4c12-a017-9453865c99cf","Company","[]","2020-10-20T00:15:29.401Z","","[{""S"":""https://wglholdings.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","WGL Holdings","","","[]","","2020-10-20T00:15:29.401Z","https://wglholdings.com"
"9aee3abb-8ca0-4c86-a719-119108776fac","Company","[]","2020-10-20T00:12:10.098Z","","[{""S"":""https://cisco.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Cisco Systems","","","[]","","2020-10-20T00:12:10.098Z","https://cisco.com"
"9fb8982c-b4d2-4bed-b3e0-9ebf0d810a24","Company","[]","2020-10-20T00:14:23.756Z","","[{""S"":""https://polo.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Polo Ralph Lauren","","","[]","","2020-10-20T00:14:23.756Z","https://polo.com"
"5d2a40f8-ab27-4ef6-8159-0a341280ca5d","Company","[]","2020-10-20T00:13:39.062Z","","[{""S"":""https://magellanhealth.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Magellan Health Services","","","[]","","2020-10-20T00:13:39.062Z","https://magellanhealth.com"
"4283caff-8152-4f0c-880e-38a4af0435bf","Company","[]","2020-10-20T00:14:44.835Z","","[{""S"":""https://siebel.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Siebel Systems","","","[]","","2020-10-20T00:14:44.835Z","https://siebel.com"
"bf9d9f8b-42f4-4c75-97b4-c8646f35f727","Company","[]","2020-10-20T00:12:41.550Z","","[{""S"":""https://emc.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","EMC","","","[]","","2020-10-20T00:12:41.550Z","https://emc.com"
"d035172d-603f-48ea-8372-d7b0f810085b","Company","[]","2020-10-20T00:15:28.174Z","","[{""S"":""https://westerngas.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Western Gas Resources","","","[]","","2020-10-20T00:15:28.174Z","https://westerngas.com"
"25705400-c623-4173-890b-a6123554fcd5","Company","[]","2020-10-20T00:12:20.858Z","","[{""S"":""https://cooperindustries.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Cooper Industries","","","[]","","2020-10-20T00:12:20.858Z","https://cooperindustries.com"
"e5bae97c-d402-4504-9d44-714a01c15fec","Company","[]","2020-10-19T23:47:45.471Z","","[{""S"":""https://advantica-dine.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Advantica","","","[]","","2020-10-19T23:47:45.471Z","https://advantica-dine.com"
"7e4510b0-ca8a-451a-98c0-b1d1a211ffe3","Company","[]","2020-10-20T00:15:24.637Z","","[{""S"":""https://disney.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Walt Disney","","","[]","","2020-10-20T00:15:24.637Z","https://disney.com"
"eacd5fea-1491-4ef9-8711-25223db59843","Company","[]","2020-10-20T00:13:26.458Z","","[{""S"":""https://johnsoncontrols.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Johnson Controls","","","[]","","2020-10-20T00:13:26.458Z","https://johnsoncontrols.com"
"72517640-1294-462f-ae99-94aa3c359d36","Company","[]","2020-10-20T00:14:19.598Z","","[{""S"":""https://pfizer.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Pfizer","","","[]","","2020-10-20T00:14:19.598Z","https://pfizer.com"
"f4f6b005-996e-44ca-9cbf-0279737f2b99","Company","[]","2020-10-20T00:12:15.902Z","","[{""S"":""https://ca.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Computer Associates Intl.","","","[]","","2020-10-20T00:12:15.902Z","https://ca.com"
"f68d3b53-32f3-4d50-b15f-2f7e4f4101df","Company","[]","2020-10-20T00:12:32.967Z","","[{""S"":""https://dom.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Dominion Resources","","","[]","","2020-10-20T00:12:32.967Z","https://dom.com"
"d42f7c3e-b245-4940-a7fa-995572c93a46","Company","[]","2020-10-20T00:14:06.499Z","","[{""S"":""https://oceanenergy.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Ocean Energy","","","[]","","2020-10-20T00:14:06.499Z","https://oceanenergy.com"
"cbcc263b-c2af-4882-9218-bf4f83c61dab","Company","[]","2020-10-20T00:15:09.454Z","","[{""S"":""https://triconglobal.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Tricon Global Restaurants","","","[]","","2020-10-20T00:15:09.454Z","https://triconglobal.com"
"4a899a08-6e42-47a7-be76-601ebdf76d97","Company","[]","2020-10-20T00:11:53.752Z","","[{""S"":""https://bowater.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Bowater","","","[]","","2020-10-20T00:11:53.752Z","https://bowater.com"
"1afc67db-5324-47b5-a1e6-d5c1156cea5a","Company","[]","2020-10-20T00:12:29.712Z","","[{""S"":""https://delphiauto.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Delphi","","","[]","","2020-10-20T00:12:29.712Z","https://delphiauto.com"
"f3eb9fda-4a95-4e49-9166-b87a6524bf6c","Company","[]","2020-10-20T00:15:05.683Z","","[{""S"":""https://timken.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Timken","","","[]","","2020-10-20T00:15:05.683Z","https://timken.com"
"c4d0782b-4cef-401b-a299-d183dabd30e8","Company","[]","2020-10-20T00:14:48.892Z","","[{""S"":""https://solutia.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Solutia","","","[]","","2020-10-20T00:14:48.892Z","https://solutia.com"
"413c0f70-e3e4-4739-b83c-94dd284a76d9","Company","[]","2020-10-20T00:12:34.358Z","","[{""S"":""https://dplinc.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","DPL","","","[]","","2020-10-20T00:12:34.358Z","https://dplinc.com"
"b226f46d-6c83-440d-9442-40882f964159","Company","[]","2020-10-20T00:12:42.518Z","","[{""S"":""https://encompserv.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Encompass Services","","","[]","","2020-10-20T00:12:42.518Z","https://encompserv.com"
"4a3e6c87-fbf4-4a7b-acfc-21e16fc7d5db","Company","[]","2020-10-20T00:13:02.241Z","","[{""S"":""https://gp.com""}]","[{""S"":""Mentees""},{""S"":""Mentors""},{""S"":""Members""}]","","Georgia-Pacific","","","[]","","2020-10-20T00:13:02.241Z","https://gp.com"
